Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CO2,Agriculture,BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006285713,0.015714283,0.02168571,0.010371427,0.013199998,0.02938571,0.020899997,0.026871425,0.017128569,0.021685711,0.008171427,0.010371427,0.013199998,0.021371426,0.018857141,0.019485712,0.012257142,0.018542856,0.026085713,0.029385711,0.025299998,0.018595236,0.022576188,0.007857142,0.014614284,0.012288571,0.010695209
CO2,Agriculture,BLR,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908599931,0.959147556,0.920857074,0.790428504,0.698238031,0.699809443,0.669428521,0.553509458,0.386571392,0.547433292,0.616471383,0.53711427,0.548638054,0.477190449,0.597404688,0.632667539,0.670989139
CO2,Agriculture,BRA,Brazil,1.141014266,1.141014266,1.141014266,1.141014266,1.140176166,1.237395215,1.464728542,1.972980895,1.974971373,2.189209452,2.465623716,1.926466597,1.841033264,1.407528504,2.037514176,1.938828445,2.406171293,2.373328438,2.043328453,1.902528451,2.041180838,2.193452269,2.178995119,2.666714119,3.011276004,2.951876022,3.320009339,3.751628355,3.891642613,4.076861621,5.353071131,4.663161677,4.802390229,6.155180596,5.571709186,5.088285383,5.521109175,7.153142418,6.306509084,6.280004392,6.427718612,8.360628046,7.927909018,8.414789878,8.596080313,7.98002803,9.309665932,9.365818349,9.228213582,9.793142179,11.52297058,12.83197048,12.88775622,12.9431125,13.19863193
CO2,Agriculture,CAN,Canada,0.617047608,0.617047608,0.617047608,0.617047608,0.654238081,0.707299982,0.71908569,0.84967139,1.030490427,1.296585652,1.300776122,1.271023736,1.393123718,1.578918931,1.753818913,1.752090337,1.545866536,1.550423678,1.556342724,1.526223674,1.42696178,1.531095101,1.564357004,1.727471273,1.649476028,1.819347439,1.983142668,2.118337893,2.037671245,2.097280754,2.079785517,2.106499808,2.24321408,2.208956943,2.084761711,1.969837899,2.479504522,2.431890253,2.34420454,2.491133088,2.766290206,3.180309199,3.320218688,3.317390135,3.486632962,3.587675825,3.406332978,3.655194854,3.768547232,4.094513842,4.127147156,3.74115196,3.932132891,4.845623978,4.887017831
CO2,Agriculture,CHE,Switzerland and Liechtenstein,0.013619046,0.013619046,0.013619046,0.013619046,0.004242856,0.011838094,0.024514284,0.031376187,0.038657139,0.043790472,0.042114282,0.041433329,0.045780949,0.051019044,0.052380948,0.052957138,0.052433329,0.050599995,0.051385709,0.05803809,0.048242854,0.034571425,0.037190473,0.037190473,0.054999995,0.036142853,0.042428567,0.036142853,0.034571425,0.031428567,0.042428567,0.032999996,0.026714283,0.031428568,0.037714282,0.054999997,0.053428569,0.040857141,0.031428569,0.033942856,0.026714285,0.068095236,0.059819048,0.060133333,0.046095238,0.053585714,0.058195238,0.04897619,0.015452381,0.013985714,0.042795233,0.042585709,0.036038091,0.04065809,0.046171694
CO2,Agriculture,CHL,Chile,0.055628568,0.055628568,0.055628568,0.055628568,0.04085714,0.027709521,0.027814283,0.022314283,0.037347615,0.046304755,0.054004755,0.048923803,0.025352378,0.052276183,0.070766657,0.087371416,0.14530474,0.163742832,0.180085687,0.196428541,0.236971397,0.212509494,0.236238062,0.2713333,0.272380916,0.345714245,0.372166625,0.362476152,0.38761901,0.368342813,0.315857094,0.325390427,0.332095187,0.391914224,0.395161844,0.366666609,0.36561899,0.386676131,0.378714224,0.366142798,0.291080912,0.292338054,0.297052334,0.297628528,0.300928529,0.297366624,0.29008567,0.29160472,0.332618998,0.335238045,0.346552326,0.369180895,0.27767138,0.284271379,0.291036084
CO2,Agriculture,CHN,China,4.638333001,4.638333001,4.638333001,4.638333001,4.173714039,5.684904335,5.73571386,6.832570875,7.825713469,9.804665614,10.81457018,10.34837975,10.85857012,11.94966517,13.2848555,12.40642691,11.92137936,14.41638849,16.39460719,16.5916643,17.79694991,18.21390227,19.0504259,15.80909302,17.88128336,23.6122825,24.63423466,23.24666334,23.79404418,25.44771047,24.12771058,24.6965676,31.12685267,29.2421862,29.97813819,21.11805859,23.5030677,21.48331086,20.46130629,24.60888198,21.37011586,24.60589625,25.31309147,26.50999614,22.58781593,24.6508393,18.20578307,15.16171705,15.37794557,17.131869,16.28115007,15.91532156,16.31394056,16.63737193,16.96908875
CO2,Agriculture,CIV,Côte d’Ivoire,0.004714285,0.004714285,0.004714285,0.004714285,0.007542856,0.007699999,0.007857141,0.01335714,0.010999998,0.011471426,0.01335714,0.012571426,0.011471426,0.008171427,0.007385713,0.004399999,0.004242856,0.003457142,0.009742855,0.01052857,0.015871426,0.021999996,0.023571424,0.028285709,0.037714279,0.039285707,0.056571419,0.086428561,0.075428565,0.048714279,0.054999992,0.041799994,0.08737142,0.032685709,0.069142854,0.051857138,0.08485714,0.062857137,0.03771428,0.065999993,0.070347614,0.055157137,0.068776183,0.097795232,0.115919039,0.08181904,0.08841904,0.066104756,0.052852376,0.11942856,0.082761896,0.122099988,0.073857134,0.07540761,0.077329629
CO2,Agriculture,CMR,Cameroon,0.033,0.033,0.033,0.033,0.033,0.033,0.016342857,0.045571428,0.051857143,0.038971429,0.039914283,0.055157141,0.0517,0.066942856,0.058142857,0.038814284,0.009428571,0.024671429,0.031428569,0.02702857,0.024199999,0.017285713,0.007542856,0.01712857,0.021999997,0.021999997,0.026714282,0.020585712,0.021895236,0.045414282,0.028757139,0.054476186,0.032476189,0.021999998,0.054214281,0.037819044,0.029490475,0.040176188,0.024199998,0.049290475,0.050076189,0.049761901,0.048871426,0.055576187,0.061023805,0.079776184,0.067571422,0.083233326,0.064899995,0.098109516,0.081609517,0.067833329,0.102614275,0.106490465,0.110576706
CO2,Agriculture,COL,Colombia,0.16201426,0.16201426,0.16201426,0.16201426,0.16028569,0.141585697,0.189042831,0.19218569,0.167199977,0.209942831,0.211619022,0.188571406,0.196428547,0.199047595,0.23539997,0.242838066,0.281128536,0.320780912,0.349380906,0.370280905,0.450266607,0.422399944,0.368657094,0.357185669,0.378295193,0.370333288,0.327904724,0.334295198,0.390080906,0.415695189,0.455085663,0.426695187,0.430047566,0.4010809,0.470904703,0.482952327,0.458333281,0.494371371,0.359123772,0.490861846,0.450371375,0.548323752,0.486199943,0.527842797,0.551885653,0.846947536,0.721914212,0.679276118,0.593580884,0.530095175,0.657904693,0.762614209,0.513438046,0.488232336,0.465374476
CO2,Agriculture,CRI,Costa Rica,0.053428567,0.053428567,0.053428567,0.053428567,0.053428567,0.054999997,0.041642854,0.069142852,0.07228571,0.059714283,0.058457142,0.059714284,0.072285713,0.076999996,0.054999997,0.064742852,0.072599995,0.059871425,0.085799995,0.095071422,0.06568571,0.068357135,0.073857134,0.065999993,0.100571418,0.089571419,0.125871417,0.141428559,0.139857129,0.109999993,0.119428561,0.084857132,0.062857134,0.046671422,0.086061895,0.100047612,0.120476179,0.107904756,0.122257136,0.11785713,0.097009513,0.219161891,0.15064761,0.100990473,0.159709513,0.165733322,0.164214276,0.159919037,0.22036665,0.189357126,0.156933322,0.143995228,0.126761891,0.130124748,0.133640073
CO2,Agriculture,CUB,Cuba,0.463571419,0.463571419,0.463571419,0.463571419,0.498142847,0.526428562,0.691428557,0.751142829,0.765285684,0.974285692,0.966428548,1.068257111,0.912685678,0.801899969,0.969257118,0.985599976,1.04452854,0.847314249,0.799228531,0.981199946,0.865857114,0.769999977,0.696928557,0.367714277,0.254571419,0.245666655,0.271333324,0.326333316,0.285476177,0.198890471,0.220838089,0.091142843,0.058142847,0.02488095,0.027028567,0.124247615,0.17191428,0.139542853,0.105128562,0.109057134,0.108480942,0.125190463,0.12697142,0.131685704,0.164685699,0.143628561,0.106752373,0.114452369,0.060971424,0.035671426,0.032371428,0.031742855,0.012257142,0.012257142,0.012257142
CO2,Agriculture,CYP,Cyprus,0.042114285,0.042114285,0.042114285,0.042114285,0.011,0.040228571,0.028285714,0.013828571,0.010528571,0.009585714,0.008171428,0.008171428,0.008171428,0.013514285,0.014142857,0.013671428,0.013042857,0.017128571,0.015871428,0.016028571,0.015871428,0.015714285,0.0198,0.016657143,0.016185714,0.015242857,0.016814285,0.011628571,0.013042857,0.013671428,0.010685714,0.010214286,0.009585714,0.010371428,0.011785714,0.006285714,0.009114286,0.004609524,0.005657143,0.004085714,0.0055,0.006128571,0.006757143,0.003142857,0.005499999,0.004085714,0.004557142,0.003614285,0.005814285,0.003928571,0.005657142,0.003457142,0.000785714,0.000597143,0.000453828
CO2,Agriculture,CZE,Czechia,1.658861735,1.658861735,1.658861735,1.658861735,1.37251282,1.416124045,1.501339528,1.51742686,1.710207563,1.727460934,1.829453334,1.78516873,1.703704207,1.729142711,1.687532892,1.662473428,1.107503569,0.813858082,1.022222137,1.131346357,0.961887536,0.521338176,0.5032567,0.49723935,0.135142853,0.174795229,0.255985699,0.212404754,0.233042848,0.195852371,0.288566658,0.300823795,0.272066655,0.245352368,0.276152368,0.233095225,0.190666655,0.221152367,0.166047612,0.145095231,0.243047602,0.20795236,0.202190464,0.291761877,0.338957111,0.282385678,0.28243806,0.29715712,0.197999977,0.164057126,0.148919025,0.171285691,0.179195214,0.170886253,0.173274641
CO2,Agriculture,DEU,Germany,1.557914273,1.557914273,1.557914273,1.557914273,1.543457134,1.330528532,1.611499911,1.620142765,1.526799905,1.593271338,1.625957047,1.632714186,1.576142767,1.523971347,1.47635707,1.508571349,1.616685614,1.563728473,1.597357046,1.675142768,0.450528516,0.512809476,0.44838091,0.410142816,0.550523755,0.45833327,0.293071375,0.308471372,0.340685652,0.363628505,0.458857059,0.444714205,0.447857061,0.483999912,1.24268564,1.28511421,0.828771343,0.874028486,1.009171306,0.832857063,1.064328464,1.080042768,1.059876089,1.103980851,1.196904631,1.263742732,1.191980837,1.233518965,0.885604695,0.840242795,0.734276141,0.631190426,0.680795186,0.651068398,0.621683102
CO2,Agriculture,DNK,Denmark,0.007857142,0.007857142,0.007857142,0.007857142,0.003928571,0.007228571,0.010842856,0.008799999,0.009219047,0.009847618,0.013147617,0.013619046,0.017076188,0.016761902,0.013723808,0.011942856,0.011314284,0.014142855,0.014457141,0.024304759,0.027133331,0.023833331,0.025142855,0.02985714,0.032476188,0.069666665,0.094809523,0.112095238,0.115238095,0.115238095,0.128333333,0.094809524,0.069666665,0.082238094,0.068095236,0.068095236,0.0585619,0.056361902,0.051857141,0.109999994,0.069666666,0.066523809,0.060238095,0.050809524,0.059452381,0.071761904,0.056257143,0.075585714,0.0737,0.109161905,0.111361905,0.050757143,0.062595238,0.05958907,0.059531242
CO2,Agriculture,DOM,Dominican Republic,0.126971426,0.126971426,0.126971426,0.126971426,0.088157142,0.124823807,0.091614285,0.127914283,0.103242854,0.115028569,0.108428569,0.111571425,0.114190473,0.101147616,0.119271425,0.119061901,0.117961902,0.131161902,0.097271426,0.141847615,0.130114278,0.163952373,0.129904755,0.11859047,0.131790469,0.154523802,0.175999993,0.183804754,0.169190469,0.162119039,0.133361895,0.184799991,0.175371419,0.150595231,0.169138088,0.13074285,0.184695229,0.10711904,0.141847612,0.188938083,0.187733325,0.143890467,0.178828562,0.138390469,0.190299991,0.16719999,0.185061895,0.168614276,0.189042844,0.183647608,0.207742844,0.180399987,0.217904744,0.226861886,0.236645171
CO2,Agriculture,DZA,Algeria,0.221257142,0.221257142,0.221257142,0.221257142,0.165314285,0.171861905,0.184066667,0.17987619,0.167514286,0.164580952,0.22335238,0.165838095,0.130009524,0.142057143,0.229428571,0.238857143,0.261066667,0.215914286,0.1254,0.101514286,0.138285714,0.084857143,0.089571429,0.161857143,0.115028571,0.019171429,0.029857143,0.031428571,0.0902,0.084123809,0.07815238,0.07815238,0.114085713,0.111571428,0.036142851,0.033785709,0.039285712,0.031428569,0.017285712,0.027342852,0.059504752,0.066995228,0.08433332,0.109319044,0.19009046,0.211304744,0.174271412,0.174480941,0.258919026,0.206328548,0.15750951,0.111728564,0.12466665,0.130166649,0.135998545
CO2,Agriculture,ECU,Ecuador,0.053009518,0.053009518,0.053009518,0.053009518,0.061547615,0.026242855,0.100466655,0.115709509,0.072180942,0.079985703,0.070138085,0.057828564,0.048661897,0.077680942,0.072285705,0.068042847,0.049133326,0.041747613,0.054004755,0.07322856,0.062542848,0.071761894,0.09067142,0.087999989,0.08747618,0.100571415,0.113142842,0.161961886,0.148919027,0.127809511,0.116652366,0.173276171,0.212666638,0.20894759,0.250276159,0.083285704,0.18878093,0.233304736,0.229533305,0.180819022,0.192604733,0.258709494,0.273899968,0.308261869,0.355457108,0.35697615,0.542719001,0.388876159,0.478342811,0.425595202,0.476771392,0.544290439,0.353676165,0.346636166,0.339941158
CO2,Agriculture,EGY,Egypt,0.82578568,0.82578568,0.82578568,0.82578568,0.832857109,0.751142827,0.818242825,0.862242821,0.950714239,1.351742809,1.446657081,1.368399921,1.426542771,1.365885619,1.343571332,1.398571327,1.969314163,1.915571308,1.988957032,1.966014172,1.928614185,2.033428472,1.863714185,2.093142752,1.868114198,2.624285597,2.46918558,2.372857029,2.511142714,2.315028422,2.613285546,2.748428375,2.651942664,2.512242622,3.037728325,2.944856916,2.667395005,2.466671222,2.462637882,2.659275991,2.556347404,2.592856917,2.120642636,2.249237873,2.264952152,2.48411404,2.701390212,2.793685452,2.948680707,2.736956904,2.814690212,2.626433059,2.501923542,2.518763652,2.523619588
CO2,Agriculture,ESP,Spain and Andorra,1.100785695,1.100785695,1.100785695,1.100785695,0.94018569,1.124985685,1.143214253,0.992514251,1.133628528,1.183285667,1.131742809,1.129071384,1.035519006,1.019961862,1.213142808,1.319999942,1.731399945,1.775976119,1.722128504,1.627895157,1.500714215,1.430680879,1.123571376,1.28176185,1.32471424,1.51957137,1.578761838,1.396476113,1.45828563,1.514857061,1.448857054,1.448333254,1.442571352,1.529523719,1.373952307,1.249285647,1.195333265,1.122157073,0.998433279,1.006866595,1.038085633,0.766176126,1.040338006,1.183966573,1.180666587,1.081666581,1.200047529,1.432566569,1.106914202,1.129647536,1.33702372,0.97879041,1.052752298,1.036880872,1.0215588
CO2,Agriculture,EST,Estonia,0.076597197,0.076597197,0.076597197,0.076597197,0.083078499,0.083078499,0.087880554,0.098574701,0.100990459,0.103877584,0.106617406,0.106941472,0.10682363,0.113687917,0.113776298,0.116398279,0.120787888,0.123733934,0.114895796,0.093654804,0.087893159,0.082131514,0.076369869,0.080457143,0.068514284,0.059084935,0.05332329,0.044890475,0.053952379,0.044209522,0.051438093,0.058090473,0.059504758,0.052590473,0.056361901,0.052590472,0.031847618,0.027814284,0.063904758,0.079409519,0.058561904,0.060552381,0.05992381,0.069142857,0.075428571,0.094285714,0.081714286,0.081714286,0.085695238,0.085380952,0.086428571,0.071028571,0.064219047,0.064219047,0.064219047
CO2,Agriculture,ETH,Ethiopia,0.01377619,0.01377619,0.01377619,0.01377619,0.014038095,0.022419047,0.022314285,0.018752381,0.020533333,0.028076189,0.029071427,0.029542856,0.02755238,0.031795237,0.024514284,0.009952381,0.023833332,0.040333332,0.039285713,0.047142855,0.046776187,0.049761902,0.059190474,0.055785711,0.078099997,0.089676187,0.147033321,0.100885707,0.136138084,0.143471416,0.136819035,0.194333312,0.153999986,0.031952379,0.175476178,0.1880476,0.171285696,0.172857129,0.160809511,0.18071427,0.188571411,0.230476168,0.324761876,0.280657123,0.339795196,0.485047571,0.464828528,0.335604702,0.351842793,0.33722851,0.406057069,0.262952334,0.453199918,0.477305628,0.502695301
CO2,Agriculture,FIN,Finland,,,,,,,,,,,0.011157141,0.011628569,0.010999998,0.007857141,0.007071427,,0.015714283,0.027342852,0.037085708,0.038499993,0.015085712,0.026557138,0.001571428,,,,0.002095238,0.009952381,,0.001571428,0.001571428,0.001571428,0.001571428,0.001571428,0.001571428,0.001571428,0.003142857,0.003142857,,0.001571428,0.003142857,,,,,,,,,,,,,,
CO2,Agriculture,FRA,France and Monaco,2.784571415,2.784571415,2.784571415,2.784571415,2.551999987,2.894571413,3.015571408,3.103571409,3.433571402,3.81857139,3.515285676,3.650428523,3.480714231,3.634714231,3.681857099,3.882999937,4.193357061,4.111799926,4.064814212,3.988757067,4.005099927,4.003999922,2.504857074,2.710714213,3.531628507,3.740785662,3.873571366,4.00588565,3.864457077,4.140871355,3.666457086,3.85487136,3.758333266,3.792380883,3.801442785,2.985295156,2.808142783,3.059571339,2.695261817,2.746961825,2.760999888,2.400566592,2.747066571,2.639895141,2.576618945,2.720666528,2.734233183,2.614699862,2.49165702,2.512818939,1.924214196,2.037985601,1.905618886,1.931107453,1.957328782
